gene_name,ctrl_raw_mean,ctrl_clean_mean,ambient_mean,ambient_fraction,is_jakstat,interpretation
RAB14,0.05142896994948387,0.051390499650336964,3.8470299146907416e-05,0.0007480277980425212,False,CLEAN
FOXP1,0.0718744769692421,0.07182071822113222,5.375874810988057e-05,0.0007479532426077485,False,CLEAN
NGDN,0.0714532732963562,0.07140031158622047,5.296171013573214e-05,0.0007412076129258722,False,CLEAN
IL32,0.14374421536922455,0.14363767221061516,0.00010654315860939012,0.0007411996255690779,False,CLEAN
BIN2,0.04434856399893761,0.04431569687380389,3.2867125133714814e-05,0.0007411091176368679,False,CLEAN
MBP,0.094560906291008,0.09449100329393113,6.99029970768622e-05,0.0007392378078710254,False,CLEAN
RBM17,0.08418311923742294,0.08412105064770574,6.206858971720408e-05,0.0007373044653067687,False,CLEAN
LUC7L3,0.07076752185821533,0.07071540150824533,5.2120349970000146e-05,0.0007365009908701437,False,CLEAN
MBD4,0.05750158429145813,0.057459328666401514,4.2255625056615564e-05,0.0007348601882416767,False,CLEAN
CD6,0.08329422026872635,0.0832334939075927,6.072636113364782e-05,0.0007290585221607284,False,CLEAN
ARGLU1,0.07247703522443771,0.07242423612227818,5.279910215953698e-05,0.0007284942326356949,False,CLEAN
BID,0.14126209914684296,0.14115931078466612,0.00010278836217683662,0.0007276428907515199,False,CLEAN
ADTRP,0.035292137414216995,0.035266654324951886,2.548308926510895e-05,0.0007220613749181257,False,CLEAN
GADD45B,0.12160380184650421,0.12151605177794036,8.77500685638466e-05,0.0007216062921668364,False,CLEAN
MITD1,0.0537574402987957,0.053718885869328534,3.855442946716636e-05,0.0007171924342541674,False,CLEAN
CKLF,0.1101125106215477,0.11003377777206663,7.873284948106685e-05,0.0007150218357264462,False,CLEAN
INSIG1,0.1292812079191208,0.12918900427078098,9.220364833981143e-05,0.0007132022497615792,False,CLEAN
C12orf57,0.06563805043697357,0.06559124862679437,4.68018101792006e-05,0.0007130286452389418,False,CLEAN
EML4,0.08222413063049316,0.0821657334297732,5.839720071997012e-05,0.0007102197405090383,False,CLEAN
IAH1,0.04676451161503792,0.04673133710517155,3.3174509866368274e-05,0.0007093949818071114,False,CLEAN
DCAF12,0.012103586457669735,0.012095049527882382,8.536929787352973e-06,0.0007053223288162937,False,CLEAN
TBCB,0.08212295174598694,0.0820651806672887,5.77710786982405e-05,0.0007034705581081791,False,CLEAN
FNTA,0.05765288695693016,0.05761238965292055,4.04973040096096e-05,0.0007024332370356976,False,CLEAN
CCM2,0.05267110839486122,0.052634339685954434,3.676870890678696e-05,0.000698081168733754,False,CLEAN
